prolific_id,answers_json,screened_out,created_at
128192831937716847sadhj,"{""q1"": ""0"", ""q2"": ""0"", ""q3"": ""1\u20134"", ""q4"": ""5+""}",0,2026-03-19 21:36:26
69aca442a4248c9290bedaaa,"{""q1"": ""0"", ""q2"": ""0"", ""q3"": ""1\u20134"", ""q4"": ""5+""}",0,2026-03-19 04:47:31
69aca442a4248c9290bedbd1,"{""q1"": ""1\u20134"", ""q2"": ""1\u20134"", ""q3"": ""1\u20134"", ""q4"": ""1\u20134""}",0,2026-03-19 21:36:11
69aca442a4248c9290bedbd3,"{""q1"": ""1\u20134"", ""q2"": ""1\u20134"", ""q3"": ""1\u20134"", ""q4"": ""5+""}",0,2026-03-19 02:57:32
69aca442a4248c9290bedbd33,"{""q1"": ""1\u20134"", ""q2"": ""1\u20134"", ""q3"": ""1\u20134"", ""q4"": ""1\u20134""}",0,2026-03-24 23:05:43
69aca442a4248c9290bedbd6,"{""q1"": ""1\u20134"", ""q2"": ""1\u20134"", ""q3"": ""1\u20134"", ""q4"": ""1\u20134""}",0,2026-03-18 19:50:33
69aca442a4248c9290bedbd7,"{""q1"": ""1\u20134"", ""q2"": ""1\u20134"", ""q3"": ""1\u20134"", ""q4"": ""1\u20134""}",0,2026-03-16 21:35:14
69aca442a4248c9290bedbd9,"{""q1"": ""1\u20134"", ""q2"": ""1\u20134"", ""q3"": ""1\u20134"", ""q4"": ""1\u20134""}",0,2026-03-24 22:52:20
69aca442a4248c9290bedbdrecreate,"{""q1"": ""1\u20134"", ""q2"": ""1\u20134"", ""q3"": ""1\u20134"", ""q4"": ""1\u20134""}",0,2026-03-19 03:05:10
69aca442a4248sdfsc9290bedbd6,"{""q1"": ""1\u20134"", ""q2"": ""1\u20134"", ""q3"": ""1\u20134"", ""q4"": ""1\u20134""}",0,2026-03-18 20:04:42
69bb003296ba0924f469678b,"{""q1"": ""5+"", ""q2"": ""1\u20134"", ""q3"": ""0"", ""q4"": ""5+""}",0,2026-03-19 21:36:28
990909klklkl,"{""q1"": ""5+"", ""q2"": ""5+"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 13:55:01
asdasdasd12312,"{""q1"": ""5+"", ""q2"": ""5+"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 14:14:41
dadadasdadasd12312213,"{""q1"": ""5+"", ""q2"": ""5+"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 13:52:21
dddgdfgdf923450,"{""q1"": ""5+"", ""q2"": ""5+"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 05:05:32
djadjaskdjasldjasklj13913012931039,"{""q1"": ""5+"", ""q2"": ""5+"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 14:51:24
dsddfdfdfdffq3,"{""q1"": ""5+"", ""q2"": ""5+"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 20:41:50
ghdfgdfhgkdfghdfgk234324,"{""q1"": ""5+"", ""q2"": ""5+"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 23:56:33
gsdfdsfsdfdsf1131231231,"{""q1"": ""5+"", ""q2"": ""5+"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 13:30:34
hjhkjhkjhkjhjk980909,"{""q1"": ""5+"", ""q2"": ""5+"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 05:26:29
hopefullylasttest1,"{""q1"": ""1\u20134"", ""q2"": ""1\u20134"", ""q3"": ""1\u20134"", ""q4"": ""5+""}",0,2026-03-19 02:52:54
newrochtest,"{""q1"": ""1\u20134"", ""q2"": ""1\u20134"", ""q3"": ""1\u20134"", ""q4"": ""1\u20134""}",0,2026-03-19 04:51:47
od fvz hdvxfhilu dfg hiudgsfh uisdf,"{""q1"": ""5+"", ""q2"": ""5+"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 20:45:24
opopopopop,"{""q1"": ""5+"", ""q2"": ""5+"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 22:20:52
popopopop1o3p13o1p3o,"{""q1"": ""5+"", ""q2"": ""5+"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 14:08:15
pppppppppppppppppp,"{""q1"": ""5+"", ""q2"": ""5+"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 22:28:41
REGRESSIONTEST,"{""q1"": ""5+"", ""q2"": ""5+"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-24 21:11:47
rochestertest,"{""q1"": ""1\u20134"", ""q2"": ""1\u20134"", ""q3"": ""1\u20134"", ""q4"": ""1\u20134""}",0,2026-03-19 04:35:34
rrrrrrrrrrrrrrr1,"{""q1"": ""1\u20134"", ""q2"": ""5+"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 04:55:24
sdfsfsdfsdfsfsfs2212312312,"{""q1"": ""1\u20134"", ""q2"": ""1\u20134"", ""q3"": ""1\u20134"", ""q4"": ""1\u20134""}",0,2026-03-19 13:49:56
sdsfwdfdsf233432,"{""q1"": ""5+"", ""q2"": ""5+"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 05:00:43
sfgosifsoij2,"{""q1"": ""1\u20134"", ""q2"": ""1\u20134"", ""q3"": ""1\u20134"", ""q4"": ""1\u20134""}",0,2026-03-19 05:15:18
sfjsdflkjsdkfsjdlfkjl2349203492-,"{""q1"": ""5+"", ""q2"": ""5+"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 13:32:12
sfsdfdsf32323234234,"{""q1"": ""5+"", ""q2"": ""5+"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 13:59:34
sfsdfdsfksdfjdsfklj42323423,"{""q1"": ""1\u20134"", ""q2"": ""1\u20134"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 20:40:34
sfsfdsfdsf2234324,"{""q1"": ""5+"", ""q2"": ""5+"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 13:56:03
sfuhseiufweuiherwstiuhg12,"{""q1"": ""5+"", ""q2"": ""5+"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 23:55:14
sgjierotewortiuerotjrgk5r34232,"{""q1"": ""1\u20134"", ""q2"": ""1\u20134"", ""q3"": ""1\u20134"", ""q4"": ""1\u20134""}",0,2026-03-19 01:17:28
shfsdlfnsdkjhsdkjfhskfhsdkfsdhjkf23,"{""q1"": ""5+"", ""q2"": ""5+"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 21:34:52
skiiiiii123,"{""q1"": ""5+"", ""q2"": ""0"", ""q3"": ""5+"", ""q4"": ""1\u20134""}",0,2026-03-19 02:15:45
soifersoifghrdsio hsdiofg,"{""q1"": ""5+"", ""q2"": ""5+"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 20:45:54
testtest2,"{""q1"": ""1\u20134"", ""q2"": ""1\u20134"", ""q3"": ""1\u20134"", ""q4"": ""1\u20134""}",0,2026-03-19 02:38:24
tratar,"{""q1"": ""1\u20134"", ""q2"": ""5+"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 01:35:50
