unique_id	is_best	rank	name	origin	destination	departure_time	arrival_time	duration	stops	price	dis_from_origin	dis_from_dest	departure_dt	departure_seconds	arrival_dt	arrival_seconds	duration_min
JFK_LAX1	1	1.0	Frontier	JFK	LAX	11:00 AM on Thu, Dec 25	02:25 PM on Thu, Dec 25	6 hr 25 min	0.0	304.0	0.0	0.0	1900-12-25 11:00:00	471600	1900-12-25 14:25:00	483900	385
JFK_LAX2	1	2.0	JetBlue	JFK	LAX	08:29 PM on Thu, Dec 25	11:55 PM on Thu, Dec 25	6 hr 26 min	0.0	334.0	0.0	0.0	1900-12-25 20:29:00	505740	1900-12-25 23:55:00	518100	386
JFK_LAX3	1	3.0	Delta	JFK	LAX	03:25 PM on Thu, Dec 25	06:41 PM on Thu, Dec 25	6 hr 16 min	0.0	389.0	0.0	0.0	1900-12-25 15:25:00	487500	1900-12-25 18:41:00	499260	376
JFK_LAX4	0	33.5	JetBlue	JFK	LAX	06:00 AM on Thu, Dec 25	09:13 AM on Thu, Dec 25	6 hr 13 min	0.0	334.0	0.0	0.0	1900-12-25 06:00:00	453600	1900-12-25 09:13:00	465180	373
JFK_LAX5	1	4.0	JetBlue	JFK	LAX	07:10 AM on Thu, Dec 25	10:27 AM on Thu, Dec 25	6 hr 17 min	0.0	334.0	0.0	0.0	1900-12-25 07:10:00	457800	1900-12-25 10:27:00	469620	377
JFK_LAX6	0	33.5	JetBlue	JFK	LAX	07:25 PM on Thu, Dec 25	10:55 PM on Thu, Dec 25	6 hr 30 min	0.0	334.0	0.0	0.0	1900-12-25 19:25:00	501900	1900-12-25 22:55:00	514500	390
JFK_LAX7	1	5.0	Delta	JFK	LAX	06:00 PM on Thu, Dec 25	09:26 PM on Thu, Dec 25	6 hr 26 min	0.0	389.0	0.0	0.0	1900-12-25 18:00:00	496800	1900-12-25 21:26:00	509160	386
JFK_LAX8	0	33.5	Delta	JFK	LAX	07:00 AM on Thu, Dec 25	10:25 AM on Thu, Dec 25	6 hr 25 min	0.0	399.0	0.0	0.0	1900-12-25 07:00:00	457200	1900-12-25 10:25:00	469500	385
JFK_LAX9	0	33.5	JetBlue	JFK	LAX	11:00 AM on Thu, Dec 25	02:16 PM on Thu, Dec 25	6 hr 16 min	0.0	468.0	0.0	0.0	1900-12-25 11:00:00	471600	1900-12-25 14:16:00	483360	376
JFK_LAX10	0	33.5	JetBlue	JFK	LAX	09:29 PM on Thu, Dec 25	12:58 AM on Fri, Dec 26	6 hr 29 min	0.0	468.0	0.0	0.0	1900-12-25 21:29:00	509340	1900-12-26 00:58:00	521880	389
JFK_LAX11	0	33.5	Delta	JFK	LAX	12:15 PM on Thu, Dec 25	03:30 PM on Thu, Dec 25	6 hr 15 min	0.0	499.0	0.0	0.0	1900-12-25 12:15:00	476100	1900-12-25 15:30:00	487800	375
JFK_LAX12	0	33.5	American	JFK	LAX	09:41 AM on Thu, Dec 25	01:03 PM on Thu, Dec 25	6 hr 22 min	0.0	523.0	0.0	0.0	1900-12-25 09:41:00	466860	1900-12-25 13:03:00	478980	382
JFK_LAX13	0	33.5	American	JFK	LAX	03:30 PM on Thu, Dec 25	06:47 PM on Thu, Dec 25	6 hr 17 min	0.0	523.0	0.0	0.0	1900-12-25 15:30:00	487800	1900-12-25 18:47:00	499620	377
JFK_LAX14	0	33.5	American	JFK	LAX	07:30 PM on Thu, Dec 25	10:56 PM on Thu, Dec 25	6 hr 26 min	0.0	523.0	0.0	0.0	1900-12-25 19:30:00	502200	1900-12-25 22:56:00	514560	386
JFK_LAX15	0	33.5	JetBlue	JFK	LAX	09:40 AM on Thu, Dec 25	12:59 PM on Thu, Dec 25	6 hr 19 min	0.0	560.0	0.0	0.0	1900-12-25 09:40:00	466800	1900-12-25 12:59:00	478740	379
JFK_LAX16	0	33.5	JetBlue	JFK	LAX	12:00 PM on Thu, Dec 25	03:16 PM on Thu, Dec 25	6 hr 16 min	0.0	560.0	0.0	0.0	1900-12-25 12:00:00	475200	1900-12-25 15:16:00	486960	376
JFK_LAX17	0	33.5	JetBlue	JFK	LAX	01:59 PM on Thu, Dec 25	05:23 PM on Thu, Dec 25	6 hr 24 min	0.0	560.0	0.0	0.0	1900-12-25 13:59:00	482340	1900-12-25 17:23:00	494580	384
JFK_LAX18	0	33.5	JetBlue	JFK	LAX	05:29 PM on Thu, Dec 25	08:56 PM on Thu, Dec 25	6 hr 27 min	0.0	560.0	0.0	0.0	1900-12-25 17:29:00	494940	1900-12-25 20:56:00	507360	387
JFK_LAX19	0	33.5	Delta	JFK	LAX	08:10 AM on Thu, Dec 25	11:39 AM on Thu, Dec 25	6 hr 29 min	0.0	599.0	0.0	0.0	1900-12-25 08:10:00	461400	1900-12-25 11:39:00	473940	389
JFK_LAX20	0	33.5	Delta	JFK	LAX	09:25 AM on Thu, Dec 25	12:48 PM on Thu, Dec 25	6 hr 23 min	0.0	599.0	0.0	0.0	1900-12-25 09:25:00	465900	1900-12-25 12:48:00	478080	383
JFK_LAX21	0	33.5	American	JFK	LAX	11:00 AM on Thu, Dec 25	02:18 PM on Thu, Dec 25	6 hr 18 min	0.0	668.0	0.0	0.0	1900-12-25 11:00:00	471600	1900-12-25 14:18:00	483480	378
JFK_LAX22	0	33.5	American	JFK	LAX	04:25 PM on Thu, Dec 25	07:42 PM on Thu, Dec 25	6 hr 17 min	0.0	668.0	0.0	0.0	1900-12-25 16:25:00	491100	1900-12-25 19:42:00	502920	377
JFK_LAX23	0	33.5	American	JFK	LAX	07:00 AM on Thu, Dec 25	10:21 AM on Thu, Dec 25	6 hr 21 min	0.0	798.0	0.0	0.0	1900-12-25 07:00:00	457200	1900-12-25 10:21:00	469260	381
LGA_LAX24	0	33.5	Delta	LGA	LAX	03:25 PM on Thu, Dec 25	08:56 PM on Thu, Dec 25	8 hr 31 min	1.0	344.0	0.0	0.0	1900-12-25 15:25:00	487500	1900-12-25 20:56:00	507360	511
LGA_LAX25	0	33.5	United	LGA	LAX	04:48 PM on Thu, Dec 25	10:55 PM on Thu, Dec 25	9 hr 7 min	1.0	344.0	0.0	0.0	1900-12-25 16:48:00	492480	1900-12-25 22:55:00	514500	547
LGA_LAX26	0	33.5	Southwest	LGA	LAX	04:55 PM on Thu, Dec 25	10:15 PM on Thu, Dec 25	8 hr 20 min	1.0	344.0	0.0	0.0	1900-12-25 16:55:00	492900	1900-12-25 22:15:00	512100	500
LGA_LAX27	0	33.5	United	LGA	LAX	07:17 AM on Thu, Dec 25	01:03 PM on Thu, Dec 25	8 hr 46 min	1.0	344.0	0.0	0.0	1900-12-25 07:17:00	458220	1900-12-25 13:03:00	478980	526
LGA_LAX28	0	33.5	Delta	LGA	LAX	07:45 AM on Thu, Dec 25	01:05 PM on Thu, Dec 25	8 hr 20 min	1.0	344.0	0.0	0.0	1900-12-25 07:45:00	459900	1900-12-25 13:05:00	479100	500
LGA_LAX29	0	33.5	Southwest	LGA	LAX	02:20 PM on Thu, Dec 25	09:05 PM on Thu, Dec 25	9 hr 45 min	1.0	344.0	0.0	0.0	1900-12-25 14:20:00	483600	1900-12-25 21:05:00	507900	585
LGA_LAX30	0	33.5	Delta	LGA	LAX	03:30 PM on Thu, Dec 25	09:11 PM on Thu, Dec 25	8 hr 41 min	1.0	344.0	0.0	0.0	1900-12-25 15:30:00	487800	1900-12-25 21:11:00	508260	521
LGA_LAX31	0	33.5	Delta	LGA	LAX	04:30 PM on Thu, Dec 25	12:45 AM on Fri, Dec 26	11 hr 15 min	1.0	344.0	0.0	0.0	1900-12-25 16:30:00	491400	1900-12-26 00:45:00	521100	675
LGA_LAX32	0	33.5	Southwest	LGA	LAX	05:45 PM on Thu, Dec 25	11:25 PM on Thu, Dec 25	8 hr 40 min	1.0	344.0	0.0	0.0	1900-12-25 17:45:00	495900	1900-12-25 23:25:00	516300	520
LGA_LAX33	0	33.5	Southwest	LGA	LAX	12:30 PM on Thu, Dec 25	06:45 PM on Thu, Dec 25	9 hr 15 min	1.0	399.0	0.0	0.0	1900-12-25 12:30:00	477000	1900-12-25 18:45:00	499500	555
LGA_LAX34	0	33.5	American	LGA	LAX	09:09 AM on Thu, Dec 25	04:10 PM on Thu, Dec 25	10 hr 1 min	1.0	399.0	0.0	0.0	1900-12-25 09:09:00	464940	1900-12-25 16:10:00	490200	601
LGA_LAX35	0	33.5	Delta	LGA	LAX	12:30 PM on Thu, Dec 25	05:53 PM on Thu, Dec 25	8 hr 23 min	1.0	409.0	0.0	0.0	1900-12-25 12:30:00	477000	1900-12-25 17:53:00	496380	503
LGA_LAX36	0	33.5	Delta	LGA	LAX	05:16 PM on Thu, Dec 25	11:02 PM on Thu, Dec 25	8 hr 46 min	1.0	409.0	0.0	0.0	1900-12-25 17:16:00	494160	1900-12-25 23:02:00	514920	526
LGA_LAX37	0	33.5	Spirit	LGA	LAX	05:30 AM on Thu, Dec 25	05:04 PM on Thu, Dec 25	14 hr 34 min	2.0	457.0	0.0	0.0	1900-12-25 05:30:00	451800	1900-12-25 17:04:00	493440	874
LGA_LAX38	0	33.5	Spirit	LGA	LAX	06:18 PM on Thu, Dec 25	11:41 PM on Thu, Dec 25	8 hr 23 min	1.0	515.0	0.0	0.0	1900-12-25 18:18:00	497880	1900-12-25 23:41:00	517260	503
LGA_LAX39	0	33.5	Delta	LGA	LAX	12:55 PM on Thu, Dec 25	06:06 PM on Thu, Dec 25	8 hr 11 min	1.0	529.0	0.0	0.0	1900-12-25 12:55:00	478500	1900-12-25 18:06:00	497160	491
LGA_LAX40	0	33.5	United	LGA	LAX	10:26 AM on Thu, Dec 25	03:32 PM on Thu, Dec 25	8 hr 6 min	1.0	540.0	0.0	0.0	1900-12-25 10:26:00	469560	1900-12-25 15:32:00	487920	486
LGA_LAX41	0	33.5	American	LGA	LAX	02:00 PM on Thu, Dec 25	06:56 PM on Thu, Dec 25	7 hr 56 min	1.0	579.0	0.0	0.0	1900-12-25 14:00:00	482400	1900-12-25 18:56:00	500160	476
EWR_LAX42	0	33.5	United	EWR	LAX	10:15 AM on Thu, Dec 25	01:35 PM on Thu, Dec 25	6 hr 20 min	0.0	379.0	0.0	0.0	1900-12-25 10:15:00	468900	1900-12-25 13:35:00	480900	380
EWR_LAX43	0	33.5	United	EWR	LAX	02:45 PM on Thu, Dec 25	06:03 PM on Thu, Dec 25	6 hr 18 min	0.0	379.0	0.0	0.0	1900-12-25 14:45:00	485100	1900-12-25 18:03:00	496980	378
EWR_LAX44	0	33.5	United	EWR	LAX	05:00 PM on Thu, Dec 25	08:13 PM on Thu, Dec 25	6 hr 13 min	0.0	379.0	0.0	0.0	1900-12-25 17:00:00	493200	1900-12-25 20:13:00	504780	373
EWR_LAX45	0	33.5	Spirit	EWR	LAX	05:00 PM on Thu, Dec 25	08:14 PM on Thu, Dec 25	6 hr 14 min	0.0	430.0	0.0	0.0	1900-12-25 17:00:00	493200	1900-12-25 20:14:00	504840	374
EWR_LAX46	0	33.5	Delta	EWR	LAX	06:29 AM on Thu, Dec 25	12:29 PM on Thu, Dec 25	9 hr 0 min	1.0	344.0	0.0	0.0	1900-12-25 06:29:00	455340	1900-12-25 12:29:00	476940	540
EWR_LAX47	0	33.5	Delta	EWR	LAX	01:20 PM on Thu, Dec 25	08:42 PM on Thu, Dec 25	10 hr 22 min	1.0	344.0	0.0	0.0	1900-12-25 13:20:00	480000	1900-12-25 20:42:00	506520	622
EWR_LAX48	0	33.5	Delta	EWR	LAX	05:30 PM on Thu, Dec 25	12:45 AM on Fri, Dec 26	10 hr 15 min	1.0	344.0	0.0	0.0	1900-12-25 17:30:00	495000	1900-12-26 00:45:00	521100	615
EWR_LAX49	0	33.5	Alaska	EWR	LAX	04:41 PM on Thu, Dec 25	12:22 AM on Fri, Dec 26	10 hr 41 min	1.0	363.0	0.0	0.0	1900-12-25 16:41:00	492060	1900-12-26 00:22:00	519720	641
EWR_LAX50	0	33.5	United	EWR	LAX	07:40 PM on Thu, Dec 25	11:00 PM on Thu, Dec 25	6 hr 20 min	0.0	367.0	0.0	0.0	1900-12-25 19:40:00	502800	1900-12-25 23:00:00	514800	380
EWR_LAX51	0	33.5	United	EWR	LAX	08:30 PM on Thu, Dec 25	11:54 PM on Thu, Dec 25	6 hr 24 min	0.0	367.0	0.0	0.0	1900-12-25 20:30:00	505800	1900-12-25 23:54:00	518040	384
EWR_LAX52	0	33.5	United	EWR	LAX	06:00 AM on Thu, Dec 25	09:08 AM on Thu, Dec 25	6 hr 8 min	0.0	379.0	0.0	0.0	1900-12-25 06:00:00	453600	1900-12-25 09:08:00	464880	368
EWR_LAX53	0	33.5	United	EWR	LAX	07:15 AM on Thu, Dec 25	10:36 AM on Thu, Dec 25	6 hr 21 min	0.0	379.0	0.0	0.0	1900-12-25 07:15:00	458100	1900-12-25 10:36:00	470160	381
EWR_LAX54	0	33.5	Spirit	EWR	LAX	09:05 AM on Thu, Dec 25	12:23 PM on Thu, Dec 25	6 hr 18 min	0.0	430.0	0.0	0.0	1900-12-25 09:05:00	464700	1900-12-25 12:23:00	476580	378
EWR_LAX55	0	33.5	United	EWR	LAX	08:40 AM on Thu, Dec 25	11:45 AM on Thu, Dec 25	6 hr 5 min	0.0	456.0	0.0	0.0	1900-12-25 08:40:00	463200	1900-12-25 11:45:00	474300	365
EWR_LAX56	0	33.5	United	EWR	LAX	06:10 PM on Thu, Dec 25	09:20 PM on Thu, Dec 25	6 hr 10 min	0.0	459.0	0.0	0.0	1900-12-25 18:10:00	497400	1900-12-25 21:20:00	508800	370
EWR_LAX57	0	33.5	Sun Country Airlines	EWR	LAX	11:54 AM on Thu, Dec 25	04:55 PM on Thu, Dec 25	8 hr 1 min	1.0	473.0	0.0	0.0	1900-12-25 11:54:00	474840	1900-12-25 16:55:00	492900	481
EWR_LAX58	0	33.5	United	EWR	LAX	12:00 PM on Thu, Dec 25	03:00 PM on Thu, Dec 25	6 hr 0 min	0.0	480.0	0.0	0.0	1900-12-25 12:00:00	475200	1900-12-25 15:00:00	486000	360
EWR_LAX59	0	33.5	JetBlue	EWR	LAX	06:59 AM on Thu, Dec 25	10:17 AM on Thu, Dec 25	6 hr 18 min	0.0	571.0	0.0	0.0	1900-12-25 06:59:00	457140	1900-12-25 10:17:00	469020	378
EWR_LAX60	0	33.5	Alaska	EWR	LAX	09:00 AM on Thu, Dec 25	12:13 PM on Thu, Dec 25	6 hr 13 min	0.0	784.0	0.0	0.0	1900-12-25 09:00:00	464400	1900-12-25 12:13:00	475980	373
EWR_LAX61	0	33.5	Alaska	EWR	LAX	07:29 PM on Thu, Dec 25	10:46 PM on Thu, Dec 25	6 hr 17 min	0.0	784.0	0.0	0.0	1900-12-25 19:29:00	502140	1900-12-25 22:46:00	513960	377
